,,week 1,,,week 2,,,week 2,,,week 3,,,week 3,,,week 4,,,week 4,,,week 5,,,week 6,,
,,weight,reps,comments,weight,reps,comments,weight,reps,comments,weight,reps,comments,weight,reps,comments,weight,reps,comments,weight,reps,comments,weight,reps,comments,weight,reps,comments
DATE,,17/09/2024,,,24/09/2024,,,28/09/2024,,,03/10/2024,,,06/10/2024,,,08/10/2024,,,13/10/2024,,,17/10/2024,,,24/10/2024,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biceps cable ,serie 1,15,10,,15,11,,15,11,Mouvement assez 'sacadé' avec des pauses inspirations en bas. Essayer d'être plus fluide et en tension plus continue.,15,11,,15,11,,15,10,,20,8,Remplacé par preacher curl siège a 5 ,15,10,,15,8,cible mini 11
,serie 2,15,7,,15,9,,15,8,,15,8,cible mini 9,15,8,cible mini 9,15,8,cible mini 9,20,7,Siège 6,15,8,cible mini 9,15,6,cible mini 9
,serie 3,12.5,8,,12.5,9,,12.5,9,,12.5,9,,12.5,9,,12.5,8,,15,10,,12.5,9,Cible mini 9,10,10,Cible mini 9
Hammer curl,serie 1,16,9,,16,7,pas de série de chauffe! Maitenir au moins une série de chauffe a 14,16,8,target 10 sinon redescendre à 14. UNE SEULE SERIE A 16,16,9,,16,8,cible mini 9,16,8,cible mini 9,16,9,cible 9,16,11,cible 1à,16,8,cible 12
,serie 2,16,7,,16,7,,14,9,RESTER A 14 POUR LES 2 AUTRES,14,10,,14,10,,14,10,,14,11,,16,8,cible 12,16,7,cible 12
,serie 3,14,8,,14,9,,14,8,,14,8,cible mini 9,14,9,cible mini 9,14,9,,14,9,,14,10,cible 10,14,8,cible 10
Hip thrust,serie 1,5,7,"Tempo 3 sec - poussée ""vers soi""",5,8,Difficile de compter les reps + les 3 secondes de pause. Se filmer?,5,10,Se filmer pour valider le nombre semaine pro,5,11,Ressenti plutôt facile étonnamment. Mettre le boudin plus haut pour enlever les lombaires ,4,9,Bon ressenti. Pas au bout de l'effort.,4,,,4,11,cible 12,5,11,cible 12,5,11,cible 12
,serie 2,5,7,,5,8,,5,7,Déplacement du dos plus haut sur le boudin - mouvement plus difficile ,5,8,cible mini 8,4,8,Ressenti excellent ,4,,,4,9,cible 9,5,8,cible 9,5,10,cible 9
,serie 3,5,7,Tempo 1seconde ,5,10,,5,10,Pas de tempo juste léger temps d'arrêt en haut du mouvement ,5,11,,4,11,,4,,,4,8,cible 12,5,12,cible 12,5,12,cible 12
Romanian deadlift,serie 1,2,10,Décrochement plutôt au niveau de l'arrière de l'épaule plus que des fessiers et du dos. Resserrer les omoplates?,2,11,Hyper dur mais remonter des trapèzes et collage des homoplates aide,110,7,Mouvement hyper dur + barre qui glisse très mal sur le short léger décrochage de l'omoplate gauche mais surtout abandon du bas du dos donc arrêt ,110,7,Tjrs décrochage épaule/ dos à gauche ,110,7,Pas de décrochage mais sensation que le bas du dos ne répond pas au max et que la colonne travaille trop ,110,,,100,11,cible 7,100,14,cible 12,100,11,"cible 12 facile mais épaule gauche qui ""décroche"""
,serie 2,2,11,Remonter les trapèzes pendant tout le mouvement ,2,10,,2,8,Dans ma tête il me semblait 11 possible de faire plus ,2,10,cible mini 10,110,5,cible mini 10,100,,,100,8,cible 11,100,10,cible 11,100,8,cible 11 même raison 
leg curl,serie 1,45,9,Boudin 2 - siège 4,45,11,Orteil pointé vers le haut pour désengager les mollets ,37.5,9,Remplacer par allongé. Pied à 2 bassin au niveau du trou. Main au niveau poignet du haut. ,47.5,9,Mini 9 fin de mouvement un peu moyenne ,45,9,,45,,,47.5,11,cible 10,47.5,12,cible 12,50,8,cible 12
,serie 2,45,8,,45,9,,37.5,7,Rot h24,45,9,Mini 9 ,45,8,,45,,,45,11,cible 10,45,11,cible 12,45,9,cible 12
,serie 3,35,14,,37.5,11,,32.5,9,,37.5,14,Mini 11,37,14,,37,,,40,11,cible 10,40,12,cible 12,40,11,cible 12
High cable row,serie 1,30,9,,30,11,Pas de pause dans le mouvement en allongeant le bras. maintenir ce mouvement. Commencer bras gauche ,32.5,8,,32.5,8,,32.5,8,Maxi tension dans les trapèzes median qui nique le mouvement ,32.5,,,32.5,,cible 9,32.5,8,cible 9,32.5,9,cible 9 pouce placé sur le côté de la partie grise qui tourne fin de mouvement coude collé au corps. Maintient d'un ensemble serré entre le bras et le corps 
,serie 2,30,8,,30,10,,30,10,,30,9,Maxi tension dans les trapèzes median qui nique le mouvement ,30,9,mini 10,30,,,30,,cible 11,30,11,cible 11,30,10,cible 11
,serie 3,25,11,,25,11,,25,11,,25,11,,25,11,,25,,,25,,cible 12,25,12,cible 12,25,14,cible 12
Rowing,serie 1,36,9,,36,8,,36,9,target 10 sinon redescende à 34,36,9,,36,9,,36,,,36,,cible 10,0,10,Trop de monde remplacé par traction ,0,,Trop de monde remplacé par traction 
,serie 2,36,8,,36,7,,36,8,,36,7,,36,8,mini 8,36,,,36,,cible 9,0,7,cible 9,0,,cible 9
,serie 3,30,10,,30,10,,30,11,,30,12,,30,12,,30,,,30,,cible 13,0,,cible 13,0,,cible 13
Pull ups,serie 1,0,9,,35,9,Traction remplacée par tirage hammer assise à 2,0,9,,0,9,Douleur pec + gêne trapèze ,0,10,,0,,,0,11,cible 11,30,9,cible 12 abandon à gauche à cause de la tension dans le trapèze ,30,9,cible 12 abandon à gauche à cause de la tension dans le trapèze 
,serie 2,0,8,,35,8,,0,8,,0,6,,0,8,,0,,,0,10,cible 9,30,10,cible 10,30,10,cible 10
,serie 3,0,Max vitesse pas de compte ,,30,8,,0,Max vitesse pas de compte ,,0,Max vitesse pas de compte ,,0,7,,0,,,0,,cible 8,30,8,cible 9,30,8,cible 9